date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:27	87798/87798	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202020%2014:57:12%20GMT	http://wp.acmeedesign.com/bookstore/shop/page/2/?add_to_wishlist=90&add-to-cart=88	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/shop/page/2/index550b.html	(from http://wp.acmeedesign.com/bookstore/shop/page/2/?add_to_wishlist=90)
21:57:40	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2014:57:27%20GMT	http://wp.acmeedesign.com/bookstore/shop/page/2/?add-to-cart=88&action=yith-woocompare-add-product&id=74&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/shop/page/2/indexb705.html	(from http://wp.acmeedesign.com/bookstore/shop/page/2/?add-to-cart=88)
21:57:42	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2014:57:28%20GMT	http://wp.acmeedesign.com/bookstore/shop/page/2/?add-to-cart=88&action=yith-woocompare-add-product&id=75&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/shop/page/2/indexbea2.html	(from http://wp.acmeedesign.com/bookstore/shop/page/2/?add-to-cart=88)
21:57:50	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2014:57:43%20GMT	http://wp.acmeedesign.com/bookstore/shop/page/2/?add-to-cart=88&action=yith-woocompare-add-product&id=88&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/shop/page/2/index1849.html	(from http://wp.acmeedesign.com/bookstore/shop/page/2/?add-to-cart=88)
21:58:00	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2014:57:42%20GMT	http://wp.acmeedesign.com/bookstore/shop/page/2/?add-to-cart=88&action=yith-woocompare-add-product&id=90&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/shop/page/2/indexa8eb.html	(from http://wp.acmeedesign.com/bookstore/shop/page/2/?add-to-cart=88)
21:58:48	110337/110337	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202020%2014:58:01%20GMT	http://wp.acmeedesign.com/bookstore/shop/?add-to-cart=88	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/shop/index4ea3.html	(from http://wp.acmeedesign.com/bookstore/shop/page/2/?add-to-cart=88)
21:59:07	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2014:58:53%20GMT	http://wp.acmeedesign.com/bookstore/shop/page/2/?add_to_wishlist=88&action=yith-woocompare-add-product&id=75&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/shop/page/2/indexac5f.html	(from http://wp.acmeedesign.com/bookstore/shop/page/2/?add_to_wishlist=88)
21:59:25	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2014:59:08%20GMT	http://wp.acmeedesign.com/bookstore/shop/page/2/?add_to_wishlist=88&action=yith-woocompare-add-product&id=74&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/shop/page/2/index7ce9.html	(from http://wp.acmeedesign.com/bookstore/shop/page/2/?add_to_wishlist=88)
21:59:50	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2014:59:30%20GMT	http://wp.acmeedesign.com/bookstore/shop/page/2/?add_to_wishlist=88&action=yith-woocompare-add-product&id=88&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/shop/page/2/indexbb04.html	(from http://wp.acmeedesign.com/bookstore/shop/page/2/?add_to_wishlist=88)
21:59:59	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2014:59:29%20GMT	http://wp.acmeedesign.com/bookstore/shop/page/2/?add_to_wishlist=88&action=yith-woocompare-add-product&id=90&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/shop/page/2/index9f1a.html	(from http://wp.acmeedesign.com/bookstore/shop/page/2/?add_to_wishlist=88)
22:00:09	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:00:01%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75&action=yith-woocompare-add-product&id=76&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/indexd0a4.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75)
22:00:14	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2014:59:58%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75&action=yith-woocompare-add-product&id=75&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/index27d4.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75)
22:00:17	110357/110357	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202020%2014:59:32%20GMT	http://wp.acmeedesign.com/bookstore/shop/?add_to_wishlist=88	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/shop/index4189.html	(from http://wp.acmeedesign.com/bookstore/shop/page/2/?add_to_wishlist=88)
22:00:21	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:00:15%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75&action=yith-woocompare-add-product&id=78&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/indexb9d8.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75)
22:00:21	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:00:17%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75&action=yith-woocompare-add-product&id=91&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/index1eb5.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75)
22:00:26	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:00:10%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75&action=yith-woocompare-add-product&id=86&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/indexe69b.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75)
22:00:26	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:00:20%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75&action=yith-woocompare-add-product&id=74&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/indexcbd5.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75)
22:00:35	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:00:21%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75&action=yith-woocompare-add-product&id=87&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/indexcccf.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75)
22:00:35	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:00:25%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75&action=yith-woocompare-add-product&id=92&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/index9f96.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75)
22:00:37	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:00:25%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75&action=yith-woocompare-add-product&id=88&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/index9dcb.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75)
22:00:54	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:00:36%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76&action=yith-woocompare-add-product&id=75&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/indexd82b.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76)
22:00:57	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:00:34%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75&action=yith-woocompare-add-product&id=90&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/indexf8f6.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75)
22:00:58	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:00:34%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75&action=yith-woocompare-add-product&id=73&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/indexe0ce.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=75)
22:00:59	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:00:53%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76&action=yith-woocompare-add-product&id=76&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/index1163.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76)
22:01:04	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:01:00%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76&action=yith-woocompare-add-product&id=91&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/index2cb5.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76)
22:01:10	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:01:06%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76&action=yith-woocompare-add-product&id=78&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/index018b.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76)
22:01:11	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:01:07%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76&action=yith-woocompare-add-product&id=87&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/index045a.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76)
22:01:16	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:01:10%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76&action=yith-woocompare-add-product&id=88&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/index8be9.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76)
22:01:27	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:01:15%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76&action=yith-woocompare-add-product&id=73&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/index20fe.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76)
22:01:33	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:01:26%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76&action=yith-woocompare-add-product&id=90&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/index593e.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76)
22:01:40	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2013%20Feb%202020%2015:01:09%20GMT	http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76&action=yith-woocompare-add-product&id=92&_wpnonce=7156f5a924	E:/Template_Book/Home/wp.acmeedesign.com/bookstore/tabbed-products-slider/index37f2.html	(from http://wp.acmeedesign.com/bookstore/tabbed-products-slider/?add-to-cart=75&add_to_wishlist=76)
